address,number,open,available,free,total,ticket,updated_at,geo_shape,geo_point_2d,update_jcd
Alcañiz - Cambrils,231,T,12,3,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3786213772644184, 39.49507240298451], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3786213772644184, 'lat': 39.49507240298451}",2025-06-14T11:59:02+00:00
San Juan Bosco - Santiago Rusiñol,233,T,7,8,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36943734517384297, 39.497160406039164], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36943734517384297, 'lat': 39.497160406039164}",2025-06-14T12:00:17+00:00
Florista - T4 (Palau de Congressos),239,T,10,10,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39996444953107335, 39.4969854198013], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39996444953107335, 'lat': 39.4969854198013}",2025-06-14T11:56:18+00:00
Huesca - Barón de Cárcer,14,T,7,13,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37972440222295445, 39.46896731649349], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37972440222295445, 'lat': 39.46896731649349}",2025-06-14T11:55:54+00:00
Plaza San Felipe Neri (Mercado Algirós),74,T,10,10,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3537343124957471, 39.469949307546806], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3537343124957471, 'lat': 39.469949307546806}",2025-06-14T12:01:29+00:00
"Blasco Ibañez, 28 (F. Geografía e Historia)",88,T,0,40,40,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36114233248377353, 39.477512336096844], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36114233248377353, 'lat': 39.477512336096844}",2025-06-14T12:00:29+00:00
República Argentina - Campoamor,75,T,3,22,25,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.35170130420295115, 39.472113313853896], 'type': 'Point'}, 'properties': {}}","{'lon': -0.35170130420295115, 'lat': 39.472113313853896}",2025-06-14T12:00:11+00:00
Angel Guimerá - Juan Llorens,22,T,8,7,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3883534313205414, 39.46978732404922], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3883534313205414, 'lat': 39.46978732404922}",2025-06-14T12:00:06+00:00
Ramiro de Maeztu - Peris Brell,72,T,0,15,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.34644628196214244, 39.467257201162404], 'type': 'Point'}, 'properties': {}}","{'lon': -0.34644628196214244, 'lat': 39.467257201162404}",2025-06-14T12:00:14+00:00
Guillem de Anglesola - Av. Puerto,66,T,5,20,25,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3462612916525901, 39.46427128532339], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3462612916525901, 'lat': 39.46427128532339}",2025-06-14T11:56:13+00:00
Av. Puerto - José Aguilar,68,T,0,20,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3417332778594022, 39.46280327868023], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3417332778594022, 'lat': 39.46280327868023}",2025-06-14T11:58:08+00:00
Hermanos Maristas - General Urrutia,45,T,2,13,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36185535292343096, 39.45381925759081], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36185535292343096, 'lat': 39.45381925759081}",2025-06-14T12:00:04+00:00
Antonio Ferrandis - General Urrutia,48,T,4,15,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.35855273823228967, 39.450807354184086], 'type': 'Point'}, 'properties': {}}","{'lon': -0.35855273823228967, 'lat': 39.450807354184086}",2025-06-14T12:01:53+00:00
Autopista del Saler - Antonio Ferrandis (C.C. El Saler),50,T,1,39,40,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3528593228128155, 39.453318252515686], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3528593228128155, 'lat': 39.453318252515686}",2025-06-14T12:00:41+00:00
Av Puerto 19 (Telefónica),63,T,3,17,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.358414330727018, 39.46777930285978], 'type': 'Point'}, 'properties': {}}","{'lon': -0.358414330727018, 'lat': 39.46777930285978}",2025-06-14T12:01:49+00:00
Molinell - Calderón de la Barca,77,T,6,14,20,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36566734195835493, 39.48497336307338], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36566734195835493, 'lat': 39.48497336307338}",2025-06-14T11:54:44+00:00
Juan Llorens - Literato Gabriel Miró,21,T,14,2,16,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.39021443540491124, 39.4723713328859], 'type': 'Point'}, 'properties': {}}","{'lon': -0.39021443540491124, 'lat': 39.4723713328859}",2025-06-14T11:58:56+00:00
Peris y Valero - Cuba,39,T,0,19,19,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.3739313916673185, 39.457854277261184], 'type': 'Point'}, 'properties': {}}","{'lon': -0.3739313916673185, 'lat': 39.457854277261184}",2025-06-14T11:57:04+00:00
Regne de Valencia - Doctor Sumsi,34,T,4,13,17,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36996137299092113, 39.46412229654908], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36996137299092113, 'lat': 39.46412229654908}",2025-06-14T12:01:09+00:00
General Urrutia - Av. de la Plata,44,T,2,17,19,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.36301435452576164, 39.45642926768604], 'type': 'Point'}, 'properties': {}}","{'lon': -0.36301435452576164, 'lat': 39.45642926768604}",2025-06-14T11:59:48+00:00
Peris y Valero - Cabo Jubi,38,T,0,15,15,F,14/06/2025 12:02:38,"{'type': 'Feature', 'geometry': {'coordinates': [-0.37024937736936264, 39.45940204927687], 'type': 'Point'}, 'properties': {}}","{'lon': -0.37024937736936264, 'lat': 39.45940204927687}",2025-06-14T12:00:36+00:00
